id,name,city,phone,email,postal,age,segment
202107240056,Howard Moran,Cambridge,07624 262344,morbi@vitae.edu,RG1 5EX,49,manager
202107240057,Raja English,Edinburgh,0500 267783,ante.blandit.viverra@habitantmorbi.ca,SM4 5PY,49,student
202107240058,Nolan Bray,Cambridge,0351 293 8552,erat@Phasellus.com,E9 7NG,57,investor
202107240059,Gil Wiley,London,0334 227 1279,orci.Phasellus@enim.net,DN1 2TU,50,student
202107240060,Calvin Love,Edinburgh,012084 99389,sagittis@ligulaeuenim.ca,GU18 5YQ,32,student
202107240061,Rashad Calhoun,Cambridge,0330 204 5037,arcu.Nunc.mauris@molestietellus.ca,FY8 3TF,24,investor
202107240062,Russell Gates,Edinburgh,016977 8273,mauris@esttemporbibendum.co.uk,B73 6HH,44,employee
202107240063,Alvin Howard,Edinburgh,01939 05053,tortor@Aliquam.ca,IP18 6PE,56,manager
202107240064,Uriah Adkins,London,0800 152756,Phasellus.dapibus@noncursusnon.net,NG11 6JT,59,employee
202107240065,Thane Dominguez,Edinburgh,029 3888 4183,ac.orci.Ut@vulputateeu.ca,OX13 5AW,-1,manager
202107240066,Justin Ayers,Manchester,07624 047306,fringilla.ornare.placerat@magna.net,S2 1HP,29,student
202107240067,Nehru Nieves,Manchester,0961 164 6276,orci.quis@estmauris.co.uk,WD7 9AQ,21,employee
202107240068,Ferris Mckenzie,Manchester,01669 32898,tristique@vitae.ca,WF8 3YR,25,manager
202107240069,Yuli Page,Leeds,01435 436382,posuere@adipiscinglacus.ca,ML4 3EJ,42,manager
202107240070,Walker Rodriguez,Manchester,07936 545418,est.tempor@venenatis.com,CF62 3HN,41,manager
202107240071,Nehru Logan,Cambridge,076 9324 3013,Lorem@orciconsectetuereuismod.net,HP2 7BD,34,investor
202107240072,Dane Hawkins,Edinburgh,027 7742 5369,parturient.montes.nascetur@tellussem.co.uk,M22 4ZB,32,student
202107240073,Linus Hurley,Leeds,010304 72651,Sed.molestie.Sed@eget.co.uk,FK16 6DU,53,employee
202107240074,Ian Norton,Manchester,0800 878188,Integer.mollis@Maecenasornare.net,NE11 0AN,38,manager
202107240075,Russell Sheppard,Leeds,070 7954 3179,adipiscing@esttempor.net,WR9 7NS,52,student
202107240076,Driscoll Turner,Edinburgh,027 2022 0076,rhoncus.id.mollis@nequeNullamut.edu,DE13 0DH,58,student
202107240077,Jackson Riggs,Leeds,0800 940048,Nunc@mattisIntegereu.org,KT15 2NL,32,student
202107240078,Matthew Johns,Manchester,055 3002 6574,elit.pellentesque.a@ligulaAliquam.edu,DH2 2JZ,28,investor
202107240079,Dominic Alford,London,0944 631 0260,neque@velarcu.edu,WA2 9QB,58,employee
202107240080,Ethan Bartlett,Edinburgh,07624 491283,eget@perinceptoshymenaeos.ca,BA20 2EJ,45,manager
202107240081,Garth Larsen,Leeds,0171 206 2286,erat@risusDuisa.ca,TW15 2AJ,31,employee
202107240082,Magee Cohen,Edinburgh,0800 340005,at.auctor@magnaNam.edu,BN3 6NS,44,student
202107240083,Garrett Knight,London,0111 452 2430,posuere.cubilia@rhoncus.net,BB5 5TJ,40,employee
202107240084,Kermit Rhodes,Leeds,023 2447 1212,Vestibulum.ut.eros@malesuada.co.uk,HA3 6TH,56,investor
202107240085,Clarke Yates,Leeds,055 3376 4856,nonummy.ut.molestie@quis.co.uk,LS15 0PQ,30,student
202107240086,Harper Sanchez,Edinburgh,056 2397 3919,luctus.aliquet.odio@eunullaat.com,WS5 4SU,59,student
202107240087,Louis Lott,Cambridge,0800 036508,a.malesuada.id@idenim.net,BB5 2EY,57,student
202107240088,Micah Tyson,Edinburgh,0800 296 6954,ac.risus.Morbi@Nullamvelit.edu,PL17 8AR,27,manager
202107240089,Rafael Wade,Leeds,055 1522 6415,luctus@Nulla.co.uk,HP16 0DH,26,employee
202107240090,Conan Maddox,Leeds,07624 968777,Cras.lorem@Aliquamvulputateullamcorper.org,BL2 2SU,41,employee
202107240091,Lester Velez,Cambridge,0800 480 5452,Morbi.neque@a.ca,HP4 2AF,21,employee
202107240092,Louis Underwood,Edinburgh,0800 162 7575,eu@amet.co.uk,GL52 3BY,31,student
202107240093,Leo Ross,Edinburgh,070 3760 4170,posuere.enim.nisl@luctussit.co.uk,N2 9JL,37,employee
202107240094,Howard Richards,London,056 2149 5064,amet.risus@dolor.ca,W2 3JT,58,student
202107240095,Gabriel Briggs,Cambridge,07624 481594,facilisis@idblandit.com,ME9 8UJ,59,investor
202107240096,Carson Reyes,Manchester,0111 960 4843,eleifend.nec@mifringillami.net,G40 4BH,26,investor
202107240097,Walter Shepard,Edinburgh,028 6516 5351,nascetur.ridiculus@dolor.com,BD15 0NJ,55,investor
202107240098,Moses Blanchard,London,0800 1111,augue.porttitor@pedeCrasvulputate.co.uk,CF40 2JJ,23,employee
202107240099,Chaim Parsons,Cambridge,016977 8925,adipiscing.Mauris.molestie@interdum.ca,FK10 2LA,49,manager
